,text,bbox,sqyd_area
0,FL00R PL4NS],"[[2343.   83.]
 [2578.   83.]
 [2578.  131.]
 [2343.  131.]]",
1,TYPE 41,"[[2161.  172.]
 [2340.  172.]
 [2340.  222.]
 [2161.  222.]]",
2,:3BHK:,"[[2150.  217.]
 [2251.  217.]
 [2251.  256.]
 [2150.  256.]]",
3,SB4 -1755 SFT ,"[[2148.  250.]
 [2375.  250.]
 [2375.  289.]
 [2148.  289.]]",
4,1310H,"[[525. 272.]
 [626. 272.]
 [626. 292.]
 [525. 292.]]",
5,: C4RPET4RE4- 1176 SFT ',"[[2148.  286.]
 [2497.  286.]
 [2497.  322.]
 [2148.  322.]]",
6,1 BEDR00M03,"[[ 821.  308.]
 [1016.  308.]
 [1016.  339.]
 [ 821.  339.]]",
7,BEDR00M 02,"[[1579.  308.]
 [1769.  308.]
 [1769.  339.]
 [1579.  339.]]",
8,B4THR00m 02,"[[1828.  308.]
 [2031.  308.]
 [2031.  339.]
 [1828.  339.]]",
9,3440×3500,"[[1577.  327.]
 [1780.  334.]
 [1779.  373.]
 [1576.  366.]]",
10,1500×2600,"[[1834.  336.]
 [2026.  336.]
 [2026.  367.]
 [1834.  367.]]",
11,"11'-3""x 11'-6","[[ 826.  369.]
 [1013.  369.]
 [1013.  400.]
 [ 826.  400.]]",14.374985625
12,"11'-3,×11'-6*","[[1576.  364.]
 [1758.  364.]
 [1758.  403.]
 [1576.  403.]]",
13,4-11X'86R,"[[1831.  364.]
 [2020.  364.]
 [2020.  392.]
 [1831.  392.]]",
14,-8alc0ny!,"[[2112.  453.]
 [2291.  453.]
 [2291.  481.]
 [2112.  481.]]",
15,1.1,"[[2291.  450.]
 [2332.  450.]
 [2332.  472.]
 [2291.  472.]]",
16,2d00×1500,"[[2104.  478.]
 [2294.  478.]
 [2294.  517.]
 [2104.  517.]]",
17, LIVING!,"[[474. 636.]
 [609. 636.]
 [609. 667.]
 [474. 667.]]",
18,Y3500 x5550?,"[[439. 661.]
 [642. 661.]
 [642. 692.]
 [439. 692.]]",
19,11'-6*X 18'-3*,"[[447. 692.]
 [634. 692.]
 [634. 722.]
 [447. 722.]]",
20,LIK DININGYT!!,"[[ 929.  789.]
 [1167.  786.]
 [1167.  825.]
 [ 929.  828.]]",
21,BEDR00M 01,"[[2137.  797.]
 [2321.  797.]
 [2321.  825.]
 [2137.  825.]]",
22,3600X'3400,"[[ 961.  822.]
 [1162.  822.]
 [1162.  850.]
 [ 961.  850.]]",
23,"11'10'x11'2""","[[ 951.  850.]
 [1151.  850.]
 [1151.  881.]
 [ 951.  881.]]",
24,"12'2""x 13'-1""","[[2137.  853.]
 [2318.  853.]
 [2318.  883.]
 [2137.  883.]]",17.686710708333333
25,B4THR00M 03,"[[1322.  956.]
 [1527.  956.]
 [1527.  983.]
 [1322.  983.]]",
26,1600X26407,"[[1324.  986.]
 [1527.  986.]
 [1527. 1014.]
 [1324. 1014.]]",
27,1640.X26402,"[[1584.  986.]
 [1790.  986.]
 [1790. 1014.]
 [1584. 1014.]]",
28,: F0YER,"[[ 352. 1011.]
 [ 469. 1011.]
 [ 469. 1039.]
 [ 352. 1039.]]",
29,"X8'-8""","[[1411. 1011.]
 [1511. 1011.]
 [1511. 1039.]
 [1411. 1039.]]",
30,1552×8-82,"[[1593. 1008.]
 [1788. 1014.]
 [1787. 1042.]
 [1592. 1036.]]",
31,5+3%,"[[1349. 1019.]
 [1414. 1019.]
 [1414. 1039.]
 [1349. 1039.]]",
32, 2100 x:1550,"[[ 328. 1042.]
 [ 498. 1042.]
 [ 498. 1069.]
 [ 328. 1069.]]",
33,"6'-1M""x5'-1""","[[ 325. 1069.]
 [ 501. 1069.]
 [ 501. 1097.]
 [ 325. 1097.]]",
34,KITCHEN,"[[ 810. 1175.]
 [ 940. 1175.]
 [ 940. 1206.]
 [ 810. 1206.]]",
35,UTLITY:,"[[1116. 1178.]
 [1251. 1178.]
 [1251. 1206.]
 [1116. 1206.]]",
36,"10'-2""x10'-6","[[ 780. 1228.]
 [ 959. 1228.]
 [ 959. 1256.]
 [ 780. 1256.]]",11.86109925
37,x8'-2,"[[1167. 1225.]
 [1265. 1225.]
 [1265. 1253.]
 [1167. 1253.]]",
38,WING 5:,"[[1945. 1375.]
 [2215. 1375.]
 [2215. 1444.]
 [1945. 1444.]]",
39,2 SERIES C,"[[1923. 1445.]
 [2426. 1439.]
 [2427. 1508.]
 [1923. 1514.]]",
40,N,"[[2470. 1444.]
 [2546. 1444.]
 [2546. 1503.]
 [2470. 1503.]]",
