Text,Score,Bounding Box,Square Yards
FLOOR PLANS,0.9747202396392822,"[2403.0, 77.0],[2634.0, 77.0],[2634.0, 116.0],[2403.0, 116.0]",
TYPE A1,0.9477666616439819,"[2220.0, 160.0],[2398.0, 160.0],[2398.0, 207.0],[2220.0, 207.0]",
3BHK,0.996028482913971,"[2220.0, 204.0],[2298.0, 204.0],[2298.0, 234.0],[2220.0, 234.0]",
BALCONY,0.9966525435447693,"[458.0, 223.0],[600.0, 223.0],[600.0, 251.0],[458.0, 251.0]",
SBA - 1755 SFT,0.9709997177124023,"[2220.0, 237.0],[2417.0, 237.0],[2417.0, 265.0],[2220.0, 265.0]",
11'-6'4-4,0.87151700258255,"[444.0, 276.0],[611.0, 276.0],[611.0, 303.0],[444.0, 303.0]",5.5370315
CARPET AREA - 1176 SFT,0.9737334847450256,"[2217.0, 268.0],[2547.0, 265.0],[2548.0, 295.0],[2217.0, 298.0]",
BEDROOM 03,0.9352018237113953,"[853.0, 290.0],[1042.0, 290.0],[1042.0, 317.0],[853.0, 317.0]",
BEDROOM 02,0.945068359375,"[1617.0, 290.0],[1806.0, 290.0],[1806.0, 317.0],[1617.0, 317.0]",
BATHROOM 02,0.9469581246376038,"[1875.0, 287.0],[2084.0, 287.0],[2084.0, 317.0],[1875.0, 317.0]",
"11'-3""11'-6",0.8461260199546814,"[861.0, 347.0],[1033.0, 347.0],[1033.0, 367.0],[861.0, 367.0]",14.374985625
11'-311'-6,0.9418393969535828,"[1622.0, 347.0],[1803.0, 347.0],[1803.0, 367.0],[1622.0, 367.0]",2.263886625
4118-6,0.9316680431365967,"[1886.0, 345.0],[2061.0, 345.0],[2061.0, 372.0],[1886.0, 372.0]",38.800887124999996
BALCONY,0.9967628121376038,"[2184.0, 422.0],[2328.0, 425.0],[2328.0, 455.0],[2183.0, 452.0]",
6'74'-11,0.8801429271697998,"[2170.0, 477.0],[2339.0, 477.0],[2339.0, 505.0],[2170.0, 505.0]",3.5964470208333337
LIVING,0.9983265995979309,"[497.0, 596.0],[608.0, 596.0],[608.0, 623.0],[497.0, 623.0]",
11'-6x18-3,0.883115291595459,"[458.0, 648.0],[647.0, 648.0],[647.0, 678.0],[458.0, 678.0]",23.319421125
DINING,0.9948371052742004,"[1014.0, 744.0],[1139.0, 744.0],[1139.0, 772.0],[1014.0, 772.0]",
BEDROOM01,0.9956859946250916,"[2189.0, 747.0],[2378.0, 747.0],[2378.0, 775.0],[2189.0, 775.0]",
11'-1011-2,0.9288771748542786,"[981.0, 797.0],[1170.0, 797.0],[1170.0, 827.0],[981.0, 827.0]",14.682084083333333
"12'-2"" 13'-1""",0.9584067463874817,"[2195.0, 800.0],[2373.0, 800.0],[2373.0, 827.0],[2195.0, 827.0]",17.686710708333333
BATHROOM 03,0.9413859844207764,"[1361.0, 899.0],[1567.0, 899.0],[1567.0, 926.0],[1361.0, 926.0]",
BATHROOM01,0.9935129880905151,"[1625.0, 902.0],[1834.0, 902.0],[1834.0, 921.0],[1625.0, 921.0]",
FOYER,0.9981830716133118,"[375.0, 949.0],[472.0, 949.0],[472.0, 976.0],[375.0, 976.0]",
5-38-8,0.9184689521789551,"[1372.0, 954.0],[1539.0, 954.0],[1539.0, 973.0],[1372.0, 973.0]",5.0555505
5588,0.9933684468269348,"[1642.0, 954.0],[1814.0, 954.0],[1814.0, 973.0],[1642.0, 973.0]",5.216044166666666
21Q0 x 1550,0.9616889357566833,"[342.0, 976.0],[508.0, 976.0],[508.0, 1004.0],[342.0, 1004.0]",
ENTE,0.7177222371101379,"[181.0, 987.0],[203.0, 987.0],[203.0, 1040.0],[181.0, 1040.0]",
"6'-11"" x 5'-1""",0.9442762732505798,"[339.0, 1001.0],[508.0, 1001.0],[508.0, 1031.0],[339.0, 1031.0]",3.9066318958333333
KITCHEN,0.9971894025802612,"[831.0, 1106.0],[964.0, 1106.0],[964.0, 1133.0],[831.0, 1133.0]",
UTILITY,0.9907508492469788,"[1156.0, 1108.0],[1270.0, 1108.0],[1270.0, 1128.0],[1156.0, 1128.0]",
"10'-2"" x10'-6'",0.9220184683799744,"[797.0, 1150.0],[986.0, 1150.0],[986.0, 1177.0],[797.0, 1177.0]",11.86109925
"4'-11""x 8'-2",0.8617343902587891,"[1128.0, 1150.0],[1297.0, 1150.0],[1297.0, 1177.0],[1128.0, 1177.0]",4.4614152916666665
WING 5,0.9859254360198975,"[2000.0, 1293.0],[2248.0, 1293.0],[2248.0, 1351.0],[2000.0, 1351.0]",
2 SERIES,0.9951008558273315,"[1981.0, 1359.0],[2264.0, 1359.0],[2264.0, 1415.0],[1981.0, 1415.0]",
